11:50:05  Acquired tunnel connection to device.
11:50:05  Enabling developer disk image services.
11:50:05  Acquired usage assertion.
PID     Executable Path
-----   --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1       /sbin/launchd
32      /usr/libexec/UserEventAgent
33      /usr/libexec/logd
34      /usr/libexec/runningboardd
35      /System/Library/CoreServices/SpringBoard.app/SpringBoard
37      /System/Library/PrivateFrameworks/AssistantServices.framework/assistantd
38      /usr/libexec/routined
39      /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
40      /System/Library/Frameworks/Accounts.framework/accountsd
41      /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
44      /System/Library/Frameworks/HealthKit.framework/healthd
45      /usr/libexec/configd
47      /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
48      /System/Library/CoreServices/powerd.bundle/powerd
50      /usr/libexec/atc
51      /usr/sbin/WirelessRadioManagerd
52      /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
53      /usr/sbin/wifid
61      /usr/libexec/watchdogd
62      /usr/libexec/nfcd
63      /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/identityservicesd
66      /usr/libexec/thermalmonitord
67      /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
70      /usr/libexec/backboardd
72      /usr/libexec/aonsensed
73      /usr/libexec/timed
74      /usr/libexec/sharingd
77      /usr/libexec/powerexceptionsd
78      /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/imagent
80      /usr/libexec/audioaccessoryd
83      /usr/libexec/dasd
84      /System/Library/PrivateFrameworks/SleepDaemon.framework/sleepd
94      /usr/libexec/safetyalertsd
95      /usr/libexec/rapportd
97      /usr/sbin/bluetoothd
98      /System/Library/PrivateFrameworks/AppleMediaServices.framework/amsaccountsd
99      /usr/sbin/fairplayd.H2
101     /usr/libexec/fseventsd
103     /usr/libexec/IOMFB_bics_daemon
104     /usr/sbin/distnoted
105     /usr/sbin/notifyd
107     /usr/sbin/cfprefsd
108     /usr/sbin/cfprefsd
110     /usr/libexec/audiomxd
111     /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
114     /usr/libexec/biometrickitd
116     /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
117     /usr/libexec/lsd
